Status,ID,Name,Business Type,City,Phone,Expiration
Expired,<a id="l_c-g-430" class="DocFieldLink" href="javascript:;" data-linkid="c-g-430" tabindex="0">DA3889</a>,1 CENT PROFIT SALES,DEALER,SANDY,(503) 668-9603,Current
Current,<a id="l_c-g-2554" class="DocFieldLink" href="javascript:;" data-linkid="c-g-2554" tabindex="0">DL0444</a>,10/40 OVERLAND INCORPORATED,DEALER,BEAVERTON,(323) 313-8392,Expired
Expired,<a id="l_c-g-2891" class="DocFieldLink" href="javascript:;" data-linkid="c-g-2891" tabindex="0">DA3680</a>,101 AUTO SALES INC,DEALER,BROOKINGS,(541) 469-6975,Current
Current,<a id="l_c-g-1979" class="DocFieldLink" href="javascript:;" data-linkid="c-g-1979" tabindex="0">DA2926</a>,101 BUDGET AUTO SALES,DEALER,COOS BAY,(541) 269-2529,Current
Current,<a id="l_c-g-1096" class="DocFieldLink" href="javascript:;" data-linkid="c-g-1096" tabindex="0">DA3265</a>,12TH STREET AUTO SALES,DEALER,SALEM,(503) 999-0004,Expired
Expired,<a id="l_c-g-6049" class="DocFieldLink" href="javascript:;" data-linkid="c-g-6049" tabindex="0">DA1984</a>,205 AUTO SALVAGE INC,DEALER,PORTLAND,(503) 256-3232,Cancelled Bond
Cancelled Bond,<a id="l_c-g-681" class="DocFieldLink" href="javascript:;" data-linkid="c-g-681" tabindex="0">DA8655</a>,23RD ST AUTO WRECKING &amp; TOWING INC,DEALER,LINCOLN CITY,(541) 994-9000,Cancelled Insurance
Cancelled Insurance,<a id="l_c-g-4535" class="DocFieldLink" href="javascript:;" data-linkid="c-g-4535" tabindex="0">DA4281</a>,256 LLC,DEALER,BEAVERTON,(503) 207-3925,Current
Current,<a id="l_c-g-2534" class="DocFieldLink" href="javascript:;" data-linkid="c-g-2534" tabindex="0">DL0696</a>,2ND CHANCE AUTO SALES,DEALER,KLAMATH FALLS,(541) 591-5337,Current
Current,<a id="l_c-g-5585" class="DocFieldLink" href="javascript:;" data-linkid="c-g-5585" tabindex="0">DL0763</a>,2ND CHANCE VALUE MOTORS,DEALER,ROSEBURG,(541) 670-0888,Cancelled
Cancelled,<a id="l_c-g-3505" class="DocFieldLink" href="javascript:;" data-linkid="c-g-3505" tabindex="0">DA0948</a>,2ND STRING AUTO,DEALER,COOS BAY,(541) 266-8050,Cancelled
Cancelled,<a id="l_c-g-1497" class="DocFieldLink" href="javascript:;" data-linkid="c-g-1497" tabindex="0">DA9247</a>,2ND STRING AUTO,DEALER,COOS BAY,(541) 266-8050,Cancelled
Cancelled,<a id="l_c-g-765" class="DocFieldLink" href="javascript:;" data-linkid="c-g-765" tabindex="0">DA7290</a>,3 A LIVESTOCK SUPPLIES LLC,DEALER,MADRAS,(541) 475-1255,Current
Current,<a id="l_c-g-6039" class="DocFieldLink" href="javascript:;" data-linkid="c-g-6039" tabindex="0">DA9081</a>,3 BOYS CLASSIC TOWING AND AUTO SALES,DEALER,GRANTS PASS,(541) 479-3530,Cancelled Bond
Cancelled Bond,<a id="l_c-g-3321" class="DocFieldLink" href="javascript:;" data-linkid="c-g-3321" tabindex="0">DA4633</a>,3 J'S AUTO SALES,DEALER,SALEM,(971) 218-4526,Cancelled
Cancelled,<a id="l_c-g-3282" class="DocFieldLink" href="javascript:;" data-linkid="c-g-3282" tabindex="0">DA8617</a>,3 JS WHOLESALE INC,DEALER,MILWAUKIE,(503) 319-7448,Suspended
Suspended,<a id="l_c-g-5464" class="DocFieldLink" href="javascript:;" data-linkid="c-g-5464" tabindex="0">DA3274</a>,3 LINE MOTORS LLC,DEALER,PORTLAND,(866) 526-4333,Current
Current,<a id="l_c-g-6189" class="DocFieldLink" href="javascript:;" data-linkid="c-g-6189" tabindex="0">DL0249</a>,3 MARKS AUTOS LLC,DEALER,OREGON CITY,(503) 313-3259,Cancelled Bond
Cancelled Bond,<a id="l_c-g-2393" class="DocFieldLink" href="javascript:;" data-linkid="c-g-2393" tabindex="0">DA8187</a>,3 POINT AUTO SALES,DEALER,PORTLAND,(971) 331-0437,Expired
Expired,<a id="l_c-g-3922" class="DocFieldLink" href="javascript:;" data-linkid="c-g-3922" tabindex="0">DA2784</a>,3/13 MOTORS INC,DEALER,PORTLAND,(971) 235-3208,Expired
Expired,<a id="l_c-g-565" class="DocFieldLink" href="javascript:;" data-linkid="c-g-565" tabindex="0">DA3657</a>,313 MOTORS LLC,DEALER,PORTLAND,(971) 235-3208,Cancelled
Cancelled,<a id="l_c-g-5747" class="DocFieldLink" href="javascript:;" data-linkid="c-g-5747" tabindex="0">DA2840</a>,356 AUTOSEARCH,DEALER,EAGLE POINT,(541) 826-8482,Cancelled Insurance
Cancelled Insurance,<a id="l_c-g-2380" class="DocFieldLink" href="javascript:;" data-linkid="c-g-2380" tabindex="0">DA4030</a>,38 MOTORS LLC,DEALER,ELKTON,(541) 584-2221,Current
Current,<a id="l_c-g-3096" class="DocFieldLink" href="javascript:;" data-linkid="c-g-3096" tabindex="0">DL0068</a>,38 MOTORS LLC,DEALER,ELKTON,(541) 584-2221,Cancelled
Cancelled,<a id="l_c-g-5283" class="DocFieldLink" href="javascript:;" data-linkid="c-g-5283" tabindex="0">DA1011</a>,3C AUTOMOTIVE REPAIR AND SALES INC,DEALER,GRESHAM,(503) 492-6425,undefined
